kind	symbol	present	intro	note	detail
method	Control.get_combined_maximum_size	-----Y	4.7	added-4.7	const Vector2 ()
method	Control.get_combined_pivot_offset	----YY	4.6	added-4.6	const Vector2 ()
method	Control.get_custom_maximum_size	-----Y	4.7	added-4.7	const Vector2 ()
method	Control.get_focus_behavior_recursive	---YYY	4.5	added-4.5	const enum::Control.FocusBehaviorRecursive ()
method	Control.get_focus_mode_with_override	---YYY	4.5	added-4.5	const enum::Control.FocusMode ()
method	Control.get_maximum_size	-----Y	4.7	added-4.7	const Vector2 ()
method	Control.get_mouse_behavior_recursive	---YYY	4.5	added-4.5	const enum::Control.MouseBehaviorRecursive ()
method	Control.get_mouse_filter_with_override	---YYY	4.5	added-4.5	const enum::Control.MouseFilter ()
method	Control.get_offset_transform_pivot	-----Y	4.7	added-4.7	const Vector2 ()
method	Control.get_offset_transform_pivot_ratio	-----Y	4.7	added-4.7	const Vector2 ()
method	Control.get_offset_transform_position	-----Y	4.7	added-4.7	const Vector2 ()
method	Control.get_offset_transform_position_ratio	-----Y	4.7	added-4.7	const Vector2 ()
method	Control.get_offset_transform_rotation	-----Y	4.7	added-4.7	const float ()
method	Control.get_offset_transform_scale	-----Y	4.7	added-4.7	const Vector2 ()
method	Control.get_pivot_offset_ratio	----YY	4.6	added-4.6	const Vector2 ()
method	Control.get_theme_color	YYYYYY	4.2	sig-drift+preserved	const Color (name: StringName, theme_type: StringName = &"")
method	Control.get_theme_constant	YYYYYY	4.2	sig-drift+preserved	const int (name: StringName, theme_type: StringName = &"")
method	Control.get_theme_font	YYYYYY	4.2	sig-drift+preserved	const Font (name: StringName, theme_type: StringName = &"")
method	Control.get_theme_font_size	YYYYYY	4.2	sig-drift+preserved	const int (name: StringName, theme_type: StringName = &"")
method	Control.get_theme_icon	YYYYYY	4.2	sig-drift+preserved	const Texture2D (name: StringName, theme_type: StringName = &"")
method	Control.get_theme_stylebox	YYYYYY	4.2	sig-drift+preserved	const StyleBox (name: StringName, theme_type: StringName = &"")
method	Control.get_tooltip_auto_translate_mode	--YYYY	4.4	added-4.4	const enum::Node.AutoTranslateMode ()
method	Control.get_translation_context	-----Y	4.7	added-4.7	const StringName ()
method	Control.grab_focus	YYYYYY	4.2	sig-drift+preserved	void (hide_focus: bool = false)
method	Control.has_focus	YYYYYY	4.2	sig-drift+preserved	const bool (ignore_hidden_focus: bool = false)
method	Control.has_theme_color	YYYYYY	4.2	sig-drift+preserved	const bool (name: StringName, theme_type: StringName = &"")
method	Control.has_theme_constant	YYYYYY	4.2	sig-drift+preserved	const bool (name: StringName, theme_type: StringName = &"")
method	Control.has_theme_font	YYYYYY	4.2	sig-drift+preserved	const bool (name: StringName, theme_type: StringName = &"")
method	Control.has_theme_font_size	YYYYYY	4.2	sig-drift+preserved	const bool (name: StringName, theme_type: StringName = &"")
method	Control.has_theme_icon	YYYYYY	4.2	sig-drift+preserved	const bool (name: StringName, theme_type: StringName = &"")
method	Control.has_theme_stylebox	YYYYYY	4.2	sig-drift+preserved	const bool (name: StringName, theme_type: StringName = &"")
method	Control.is_offset_transform_enabled	-----Y	4.7	added-4.7	const bool ()
method	Control.is_offset_transform_visual_only	-----Y	4.7	added-4.7	const bool ()
method	Control.is_propagating_maximum_size	-----Y	4.7	added-4.7	bool ()
signal	Control.maximum_size_changed	-----Y	4.7	added-4.7	
property	Control.mouse_behavior_recursive	---YYY	4.5	added-4.5	int
property	Control.offset_bottom	YYYYYY	4.2	sig-drift	4.2=int;4.3=int;4.4=float;4.5=float;4.6=float;4.7=float
property	Control.offset_left	YYYYYY	4.2	sig-drift	4.2=int;4.3=int;4.4=float;4.5=float;4.6=float;4.7=float
